"CUSTOMER_ID";"CUSTOMER_FNAME";"CUSTOMER_LNAME";"CUSTOMER_EMAIL";"CUSTOMER_PHONE";"ADDRESS_ID";"CUSTOMER_CREATION_DATE";"CUSTOMER_USERNAME";"CUSTOMER_GENDER"
20;"Keshav";"Jog";"kesjog@yahoo.co.in";7942536789;928;"2012-04-06";"jog_kes";"M"
5;"Ramya";"Ravinder";"ramya_r23@gmail.com";7732341567;913;"2006-02-12";"rramya";"F"
21;"Alan";"Silvestri";"alan_silver@msn.com";9450465464;930;"2016-02-04";"asilvestri";"M"
22;"Andrew";"Stanton";"andrew_stanton@yahoo.com";9806980253;931;"2013-05-23";"astanton";"M"
23;"Anna";"Pinnock";"anna_pinnock@yahoo.com";8540548103;932;"2013-01-18";"apinnock";"F"
24;"Brian";"Grazer";"brian_grazer@gmail.com";7599462567;933;"2009-12-28";"bgrazer";"M"
25;"Bruno";"Delbonnel";"bruno_delbonnel@msn.com";9016687652;934;"2012-08-27";"bdelbonnel";"M"
26;"Stephen";"E. Rivkin";"stephen_e. rivkin@msn.com";9860111721;935;"2010-03-04";"srivkin";"M"
27;"Mali";"Finn";"mali_finn@yahoo.com";7373475035;936;"2006-01-14";"mfinn";"F"
28;"Sayyed";"Faraj";"sayyed_faraj@gmail.com";8556784235;937;"2009-11-01";"sfaraj";"M"
29;"Francine";"Maisler";"francine_maisler@gmail.com";8440046170;938;"2013-09-01";"fmaisler";"F"
30;"Anita";"Kohli";"anita_kohli@yahoo.com";8631526613;939;"2010-10-24";"akohli";"F"
31;"Thomas";"Newman";"thomas_nman@yahoo.com";9539300577;940;"2015-06-30";"tnewman";"M"
32;"Hans";"Zimmer";"hans_zimmer@yahoo.com";8338774317;941;"2016-01-24";"hzimmer";"M"
33;"Niseema";"Zimmer";"niseemaz@yahoo.com";8179413840;941;"2014-12-29";"ntalli";"F"
34;"Hans";"Zimmer";"hans_zimmer@gmail.com";9477272235;943;"2015-09-27";"hzimmer2";"M"
35;"Thomas";"Newman";"thomas_newman@gmail.com";9526577840;944;"2014-01-16";"tnewman2";"M"
36;"Michelle";"H. Shores";"howard_shores@yahoo.com";8795007592;945;"2010-06-24";"mshores";"F"
37;"James";"Newton Howard";"james_nhoward@yahoo.com";9520246368;946;"2012-07-06";"jhoward";"M"
38;"John";"Lasseter";"john_lass@gmail.com";9876356288;947;"2016-09-02";"jlasseter";"M"
39;"Liz";"Mullane";"liz_mullane@gmail.com";7859695387;948;"2006-03-29";"lmullane";"F"
40;"Paul";"Haggis";"paul_haggis@gmail.com";8332681111;949;"2016-08-31";"phaggis";"M"
41;"Tharman";"Shanmugaratnam";"tharshan@yahoo.co.sg";8572898929;950;"2009-11-20";"tshanmugaratnam";"M"
42;"Rebecca";"Lim";"reblim@msn.co.sg";8272438365;951;"2009-07-31";"rlim";"F"
43;"Rajiv";"Chandrasekaran";"rajiv_chan@yahoo.co.in";7431699965;952;"2014-04-14";"rchan";"M"
44;"Tanya";"Chua";"tanyac@singers.sg";5435935345;953;"2014-04-14";"tchua";"F"
45;"Janvi";"Rajiv";"janvi_jha@msn.co.sg";8324529953;952;"2015-04-14";"jrajiv";"F"
46;"Tan Bee";"Soo";"tanbeesoo@yahoo.co.sg";8293092259;954;"2016-11-15";"tsoo";"F"
47;"Yun";"Zhu";"yunzho@gmail.com";9407380992;955;"2016-11-15";"yzhu";"M"
48;"Wajdi bin Abdul";"Majeed";"wajdiabdul@gmail.com";9380937709;956;"2010-06-25";"wabdul";"M"
49;"Anbara binti";"Mubarak";"anmubarak@yahoo.co.my";7885803452;957;"2010-08-27";"amubarak";"F"
50;"Sri binti ";"Yaakob";"sribinti@yahoo.co.my";8193579391;958;"2007-12-18";"sribinti";"F"
51;"Ahmad Bin Gh";"Azali";"ahmad_bingh@yahoo.co.my";7348292313;959;"2010-05-14";"abingh";"M"
52;"Suchirithaa";"Ekanayake";"suchiritha@msn.com";6538525924;960;"2016-11-15";"sekanayake";"F"
